,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
97,2023-05-03,109.81803665512004,103.60988762515478,115.37425125544112,109.81803665512004,109.81803665512004,-0.7511751080458061,-0.7511751080458061,-0.7511751080458061,-0.7511751080458061,-0.7511751080458061,-0.7511751080458061,0.0,0.0,0.0,109.06686154707424
98,2023-05-04,110.15318473790873,103.30558362586402,115.25566641958694,110.15318473790873,110.15318473790873,-0.6916482044730133,-0.6916482044730133,-0.6916482044730133,-0.6916482044730133,-0.6916482044730133,-0.6916482044730133,0.0,0.0,0.0,109.46153653343572
99,2023-05-05,110.48833282069744,104.44613905591866,116.01828494569443,110.48833282069744,110.48833282069744,-0.196727143757466,-0.196727143757466,-0.196727143757466,-0.196727143757466,-0.196727143757466,-0.196727143757466,0.0,0.0,0.0,110.29160567693997
100,2023-05-08,111.49377706906355,104.80024714494019,117.03284013890654,111.49377706906355,111.49377706906355,-0.3953043153779531,-0.3953043153779531,-0.3953043153779531,-0.3953043153779531,-0.3953043153779531,-0.3953043153779531,0.0,0.0,0.0,111.0984727536856
101,2023-05-09,111.82892515185226,105.55515774175036,117.46886664636897,111.82892515185226,111.82892515185226,-0.5231811972958996,-0.5231811972958996,-0.5231811972958996,-0.5231811972958996,-0.5231811972958996,-0.5231811972958996,0.0,0.0,0.0,111.30574395455636
102,2023-05-10,112.16407323464097,105.32855399691262,117.17771880516379,112.16407323464097,112.16407323464097,-0.7511751080462558,-0.7511751080462558,-0.7511751080462558,-0.7511751080462558,-0.7511751080462558,-0.7511751080462558,0.0,0.0,0.0,111.41289812659471
103,2023-05-11,112.49922131742967,106.00614835854046,117.75263413226973,112.49922131742967,112.49922131742967,-0.6916482044732676,-0.6916482044732676,-0.6916482044732676,-0.6916482044732676,-0.6916482044732676,-0.6916482044732676,0.0,0.0,0.0,111.8075731129564
104,2023-05-12,112.83436940021838,106.86770779785789,118.77722114664331,112.83436940021838,112.83436940021838,-0.19672714375741182,-0.19672714375741182,-0.19672714375741182,-0.19672714375741182,-0.19672714375741182,-0.19672714375741182,0.0,0.0,0.0,112.63764225646096
105,2023-05-15,113.83981404424993,107.59579031931413,119.71436049618205,113.83981404424993,113.83981404424993,-0.3953043153742083,-0.3953043153742083,-0.3953043153742083,-0.3953043153742083,-0.3953043153742083,-0.3953043153742083,0.0,0.0,0.0,113.44450972887573
106,2023-05-16,114.17496225892714,107.57527008652107,119.40557773447621,114.17496225892714,114.17496225892714,-0.5231811972956746,-0.5231811972956746,-0.5231811972956746,-0.5231811972956746,-0.5231811972956746,-0.5231811972956746,0.0,0.0,0.0,113.65178106163147
107,2023-05-17,114.51011047360433,108.06856527734072,119.60157874847697,114.51011047360433,114.51011047360433,-0.7511751080457558,-0.7511751080457558,-0.7511751080457558,-0.7511751080457558,-0.7511751080457558,-0.7511751080457558,0.0,0.0,0.0,113.75893536555857
108,2023-05-18,114.84525868828153,108.25444736307932,119.53361642984844,114.84525868828153,114.84525868828153,-0.6916482044725574,-0.6916482044725574,-0.6916482044725574,-0.6916482044725574,-0.6916482044725574,-0.6916482044725574,0.0,0.0,0.0,114.15361048380898
109,2023-05-19,115.18040690295871,109.7641048903699,120.89347482353507,115.18040690295871,115.18040690295871,-0.1967271437560945,-0.1967271437560945,-0.1967271437560945,-0.1967271437560945,-0.1967271437560945,-0.1967271437560945,0.0,0.0,0.0,114.98367975920262
110,2023-05-22,116.18585154699028,110.21839080587303,121.84201959661976,116.18585154699028,116.18585154699028,-0.39530431537522587,-0.39530431537522587,-0.39530431537522587,-0.39530431537522587,-0.39530431537522587,-0.39530431537522587,0.0,0.0,0.0,115.79054723161505
111,2023-05-23,116.52099976166747,109.68534418022429,122.17316792841115,116.52099976166747,116.52099976166747,-0.5231811972956673,-0.5231811972956673,-0.5231811972956673,-0.5231811972956673,-0.5231811972956673,-0.5231811972956673,0.0,0.0,0.0,115.9978185643718
112,2023-05-24,116.85614797634466,110.62507729180072,122.10823789770156,116.85614797634466,116.85614797634466,-0.7511751080462052,-0.7511751080462052,-0.7511751080462052,-0.7511751080462052,-0.7511751080462052,-0.7511751080462052,0.0,0.0,0.0,116.10497286829845
113,2023-05-25,117.19129619082511,110.9278365184466,121.88078291559606,117.19129619082511,117.19129619082511,-0.6916482044728116,-0.6916482044728116,-0.6916482044728116,-0.6916482044728116,-0.6916482044728116,-0.6916482044728116,0.0,0.0,0.0,116.4996479863523
114,2023-05-26,117.52644440530555,111.58075611477082,123.27587355325086,117.52644440530555,117.52644440530555,-0.19672714376044856,-0.19672714376044856,-0.19672714376044856,-0.19672714376044856,-0.19672714376044856,-0.19672714376044856,0.0,0.0,0.0,117.3297172615451
115,2023-05-30,118.86703726322737,112.42617791595193,123.63469529329645,118.86703726322737,118.86703726322737,-0.5231811972959453,-0.5231811972959453,-0.5231811972959453,-0.5231811972959453,-0.5231811972959453,-0.5231811972959453,0.0,0.0,0.0,118.34385606593143
116,2023-05-31,119.20218547770781,112.39260426965583,124.07697572973844,119.20218547770781,119.20218547770781,-0.7511751080457238,-0.7511751080457238,-0.7511751080457238,-0.7511751080457238,-0.7511751080457238,-0.7511751080457238,0.0,0.0,0.0,118.45101036966209
117,2023-06-01,119.53733369218828,113.3442095919678,124.5818180034797,119.53733369218828,119.53733369218828,-0.6916482044721016,-0.6916482044721016,-0.6916482044721016,-0.6916482044721016,-0.6916482044721016,-0.6916482044721016,0.0,0.0,0.0,118.84568548771618
